dfp	nean	pnian	nvc	nnm	nnmp	vcp	njf	nsf	we	class
0.0011978147913499998	1	0	2	3	0.25	0.0	1	7	7.46307068359	1
0.00266057139308	1	0	5	6	0.272727272727	0.0	2	8	7.73370939746	1
0.673436098709	0	1	1947	0	0.0	1.0	0	0	5.1094610000000005	0
3.0947515189700003	1	1	2541	0	0.0	1.0	0	0	5.25544	0
0.18879153136	1	0	7570	3265	0.042493102191699994	0.980769230769	0	74	7.859039353099999	1
0.20935792231	1	1	2968	1588	0.0423150714133	1.0	0	19	7.037346199289999	0
0.210236681457	0	1	639	104	0.016232245981	1.0	0	0	5.20825	0
0.315763849096	1	0	7160	4440	0.0475772058036	0.0571428571429	0	5	7.032048375	0
0.228268863068	0	1	15	0	0.0	1.0	0	0	5.011647	0
1.01265016543	1	1	1928	0	0.0	1.0	0	0	6.199397	0
0.013610734999899999	1	0	4	14	0.35	0.0	2	3	7.50627615625	1
0.057775011688	1	0	5	33	0.634615384615	0.0	0	10	7.688400625	1
0.0011581629273199998	0	1	32	0	0.0	0.0	0	0	6.192048505210001	0
0.0183473885573	0	1	19	0	0.0	1.0	0	0	5.265524	0
0.29433014614999997	1	0	507	93	0.0191122071517	0.0	1	2	7.296535125	1
1.76898599604	0	1	1402	1377	0.062330255296	1.0	0	0	5.109243	0
1.5418510824	0	1	2154	5977	0.171265652311	1.0	0	0	6.256926	0
0.7994371279629999	0	1	726	250	0.0294915654123	1.0	0	0	5.72507	0
0.000466604043492	1	0	2	3	0.25	0.0	0	12	7.132093111819999	1
0.535885372173	1	0	2	3	0.2	0.0	0	4	6.393125125	1
1.6282377049099999	1	0	4883	9275	0.132103688933	1.0	0	0	6.396669	0
0.629796999264	1	0	1638	430	0.0244345948403	1.0	0	3	7.241315625	1
0.00223705045912	1	0	5	6	0.272727272727	0.0	3	8	7.86329399023	1
0.04453735096969999	1	0	2	14	0.583333333333	0.0	0	4	7.668751875	1
0.0026605576214800003	1	0	5	6	0.272727272727	0.0	2	8	7.73370939746	1
0.294634254618	1	0	5	124	0.855172413793	0.0	0	34	7.9279065311300005	1
0.032212316281499995	1	0	2	37	0.755102040816	0.0	1	7	7.7509989921899995	1
1.2385616253799998	1	1	2894	4606	0.140452521803	1.0	0	0	5.9722040000000005	0
0.00268345654262	1	0	5	6	0.272727272727	0.0	2	8	7.7335423935500005	1
0.6728904178540001	1	1	620	108	0.0187826086957	0.846153846154	0	0	6.113575	0
0.596608649175	1	0	231	22	0.0126947489902	0.0	0	6	6.56129066016	1
0.0204598913884	1	0	463	21	0.0068965517241400005	0.0	0	14	7.0194053997	1
2.01181329912	1	0	394	0	0.0	1.0	0	0	5.689769999999999	1
0.00031646993836599997	1	0	3	5	0.227272727273	0.0	1	3	7.281753	1
1.83711861354	1	1	6411	7920	0.101303385733	1.0	0	0	6.360530000000001	0
0.636473657583	0	1	118	26	0.028729281768	1.0	0	0	3.711321	0
0.00260304017198	1	0	5	6	0.272727272727	0.0	3	8	7.863326521	1
0.0749537761343	0	1	736	221	0.0494075564498	1.0	0	9	6.436248222660001	0
0.0155000445208	0	1	100	46	0.0536756126021	1.0	0	2	5.46004275	0
0.124451675396	1	0	84	27	0.041990668740300004	0.0	1	3	7.65699525	1
0.125488440834	1	0	90	27	0.0414746543779	0.0	1	3	7.6566319375	1
0.000344717708514	1	0	3	5	0.227272727273	0.0	2	13	7.778015449010001	1
0.000619976495241	1	0	6	16	0.24615384615400002	0.2	1	7	7.76179013281	1
1.89326502	1	0	7347	8200	0.10089699893	1.0	0	0	6.447906	1
0.057582916842	1	0	42	13	0.0445205479452	0.0	1	4	7.4017560625	1
0.299861920835	0	1	20	0	0.0	1.0	0	0	5.274223	0
0.483217737259	1	1	11	11	0.118279569892	0.0	0	5	7.1675690625	1
0.307076716136	1	0	5	35	0.625	0.0	0	29	7.879979540560001	1
0.13025250835000002	0	1	113	14	0.0271844660194	1.0	0	0	5.576653	0
0.0335529504067	1	0	5	47	0.691176470588	0.0	0	9	7.881564613280001	1
1.00713021911	1	0	2144	3360	0.12278906592599999	1.0	0	3	7.36769775	1
0.317264878288	0	1	42	0	0.0	1.0	0	0	5.714851	0
0.61179162035	0	1	408	328	0.0824534942182	1.0	0	0	4.077791	0
0.0013538505998800002	1	0	3	13	0.382352941176	0.0	1	14	7.56752517392	1
