id,dfp,nean,pnian,nvc,nnm,nnmp,vcp,njf,nsf,we,class
573,0.289902873385,1,0,5,95,0.818965517241,0.0,0,15,7.45475409308,1
56,0.389482991298,1,1,11,11,0.118279569892,0.0,0,5,7.0486095625,1
2047,0.392975339784,1,0,2,21,0.6,0.0,0,5,7.75083928125,1
1512,1.92135661593,0,1,1646,1072,0.0494510563705,1.0,0,0,5.057123,0
3777,1.92375427609,0,1,2089,485,0.0157467532468,1.0,0,0,6.243743,0
1284,0.483571871323,1,1,2943,357,0.00971164309032,0.967741935484,0,10,6.79623462402,0
1050,1.48727125516,0,1,1222,3328,0.177238110454,0.666666666667,0,0,6.230583,0
2807,0.563237106066,1,1,11,11,0.118279569892,0.0,0,11,7.34892127295,1
2514,0.0718375311393,1,0,3,5,0.227272727273,0.0,0,2,5.96279075,1
193,1.89424297175,0,1,1708,414,0.0185251476642,1.0,0,0,5.184371,0
2433,1.04416888802,0,1,502,24,0.0050718512257,1.0,0,0,4.968382,0
1900,0.59691232815,0,1,23,0,0.0,1.0,0,0,5.523933,1
398,1.89541667967,0,1,136,13,0.0161691542289,1.0,0,0,5.651667,0
3839,0.00384701615809,1,0,5,6,0.272727272727,0.0,1,2,7.249526875,1
1276,1.77701759473,1,1,4356,6102,0.0954765220385,1.0,1,0,6.970751,0
4162,0.170957728408,1,0,1450,81,0.00772753291357,0.833333333333,0,5,7.36669103125,1
289,0.155142964947,1,0,7,122,0.818791946309,0.0181818181818,0,26,7.85368768714,1
710,0.00103772670807,1,0,8,17,0.232876712329,0.3,1,9,7.67644765527,1
1275,0.00832641139859,1,0,4,14,0.35,0.0,2,3,7.6987116875,1
2949,0.611488546119,1,0,5436,25,0.00036847069921,1.0,1,1,7.295754,0
1817,0.878577350831,0,1,100,0,0.0,1.0,0,0,5.942898,0
2903,0.831337619773,0,1,2313,1032,0.0346984062941,1.0,0,0,6.353446,0
4076,1.53468428139,0,1,2213,3752,0.108401710389,1.0,0,0,6.264152,0
3447,0.414172462388,1,1,708,136,0.0168421052632,0.75,0,5,6.211681,0
4107,0.0680555555556,0,1,62,0,0.0,1.0,0,0,5.764993,0
